{'value': {'iter': 14, 'mutation_prob': 0.2382728234032922, 'food_benefit': 4, 'adj_risk': 4, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 457.96942216704366}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 464.2625660863688}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 408.63935408109296}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 464.14485079700415}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 478.13504760689085}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 413.0135223280153}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 311.33095716665093}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 141.5525228951434}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 367.44225630723787}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 491.16621689609565}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 444.2534354987548}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 379.0133255096822}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 387.8983728092647}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 456.004314001625}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 365.441970638195}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 499.17640728557467}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 484.1789177495954}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 656.6405957190966}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 309.4471446301164}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 343.90066081451903}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 443.9504137336382}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 310.56439291909095}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 412.38892087315355}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 471.3017294180412}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 438.16904127493314}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 398.34566599372107}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 672.4230606051476}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 798.8476887806216}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 463.0928808078669}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 407.7341413051862}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 334.6933630255637}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 445.633936960958}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 488.75970774711794}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 392.0198119619371}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 322.4061994627484}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 611.9263525365116}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 372.5419368289077}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 555.0421742382055}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 465.72902002802795}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 582.9848417241819}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 362.06112903990913}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 428.1070902120769}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 374.21537368602475}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 413.0910341637467}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 318.55662148602244}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 344.06552572589845}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 418.5830755486344}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 407.4122366566411}
{'value': {'iter': 16, 'mutation_prob': 0.5383847916300409, 'food_benefit': 3, 'adj_risk': 11, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 447.26201278003407}
{'value': {'iter': 15, 'mutation_prob': 0.6461944560396001, 'food_benefit': 2, 'adj_risk': 9, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 623.6182459923573}
{'value': {'iter': 15, 'mutation_prob': 0.6461944560396001, 'food_benefit': 2, 'adj_risk': 9, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 415.46747957172704}
{'value': {'iter': 15, 'mutation_prob': 0.6461944560396001, 'food_benefit': 2, 'adj_risk': 9, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 446.39613445497275}
{'value': {'iter': 15, 'mutation_prob': 0.6461944560396001, 'food_benefit': 2, 'adj_risk': 9, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 513.0620251951069}
{'value': {'iter': 15, 'mutation_prob': 0.6461944560396001, 'food_benefit': 2, 'adj_risk': 9, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 488.7580749535489}
{'value': {'iter': 15, 'mutation_prob': 0.6461944560396001, 'food_benefit': 2, 'adj_risk': 9, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 403.3196774430763}
{'value': {'iter': 15, 'mutation_prob': 0.6461944560396001, 'food_benefit': 2, 'adj_risk': 9, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 487.3792114023322}
{'value': {'iter': 15, 'mutation_prob': 0.6461944560396001, 'food_benefit': 2, 'adj_risk': 9, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 356.0209515757792}
{'value': {'iter': 15, 'mutation_prob': 0.6461944560396001, 'food_benefit': 2, 'adj_risk': 9, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 450.34333526743046}
{'value': {'iter': 15, 'mutation_prob': 0.6461944560396001, 'food_benefit': 2, 'adj_risk': 9, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 482.9555744986125}
{'value': {'iter': 15, 'mutation_prob': 0.6461944560396001, 'food_benefit': 2, 'adj_risk': 9, 'kill_reward': 18}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 424.29265275865504}
